120,1,"ETS364B",2,8,"CUJ250020_R25_P2","1","DARREN","FSC1-ETS364","2011A [2011.1.2.21]","2.04",
125,P,"","","","LoadBoard:,5",
140,1,"c:\ETS\WORK\FSL136HR_01_ATEC.DLL","FSL136HR_01_ATEC","1.0","05/17/2009","06/26/2019",
140,2,"c:\ETS\WORK\FSL136HR_01_ATEC.pds","FSL136HR_01_ATEC","4.00","05/17/2009","04/17/2014",
140,3,"c:\ETS\WORK\FSL136HR_01_ATEC.evd","<not available>","1.0","05/17/2009","08/14/2009",
140,4,"FSL136HR_01_ATEC","FPSÄATEC","1.0","05/17/2009","06/26/2019",
145,"WARNING: Detected Boards using Default Calibration",
10,1.0,3,-0.400,-3.000,"V","OS_VCC",
10,1.1,3,2.900,-1.000,"UA","ICCLKG",
10,1.2,3,-0.400,-3.000,"V","OS_DRAIN",
10,1.3,3,2.900,-1.000,"UA","IDLKG",
10,1.4,3,-0.400,-3.000,"V","OS_VFB",
10,1.5,3,2.900,-1.000,"UA","IFBLKG",
10,1.6,3,-0.400,-3.000,"V","OS_VSTR",
10,1.7,3,2.900,-1.000,"UA","ISTRLKG",
10,1.8,3,-0.400,-3.000,"V","OS_RLIM",
10,1.9,3,2.900,-1.000,"UA","IRLLKG",
10,2.0,3,1.000,-1.000,"uA","IDSS",
10,3.0,3,2.150,1.230,"mA","IOP",
10,3.1,3,2.150,1.230,"mA","IOPMIN",
10,3.2,3,2.150,1.230,"mA","IOPMAX26",
10,3.3,3,2.150,1.230,"mA","IOPMAX30",
10,3.4,3,3.450,1.550,"mA","IOPSW",
100,1.0,"    ","P",-0.533,
100,1.1,"    ","P",1.297,
100,1.2,"    ","P",-0.697,
100,1.3,"    ","P",0.014,
100,1.4,"    ","P",-0.618,
100,1.5,"    ","P",0.687,
100,1.6,"    ","P",-0.622,
100,1.7,"    ","P",0.002,
100,1.8,"    ","P",-0.659,
100,1.9,"    ","P",0.013,
100,2.0,"    ","P",0.316,
100,3.0,"    ","P",1.956,
100,3.1,"    ","P",1.911,
100,3.2,"FAIL","F",3.846,
100,3.3,"FAIL","F",10.250,
100,3.4,"    ","P",2.700,
130,1,"06/26/2019  08:51:36","22098","F",,,7,4,0,
100,1.0,"    ","P",-0.532,
100,1.1,"    ","P",1.272,
100,1.2,"    ","P",-0.697,
100,1.3,"    ","P",0.016,
100,1.4,"    ","P",-0.618,
100,1.5,"    ","P",0.678,
100,1.6,"    ","P",-0.622,
100,1.7,"    ","P",0.005,
100,1.8,"    ","P",-0.659,
100,1.9,"    ","P",0.000,
100,2.0,"    ","P",0.310,
100,3.0,"    ","P",1.945,
100,3.1,"    ","P",1.901,
100,3.2,"FAIL","F",4.060,
100,3.3,"FAIL","F",10.250,
100,3.4,"    ","P",2.658,
130,1,"06/26/2019  08:51:37","22099","F",,,7,4,0,
100,1.0,"    ","P",-0.532,
100,1.1,"    ","P",1.266,
100,1.2,"    ","P",-0.697,
100,1.3,"    ","P",0.016,
100,1.4,"    ","P",-0.619,
100,1.5,"    ","P",0.703,
100,1.6,"    ","P",-0.623,
100,1.7,"    ","P",0.033,
100,1.8,"    ","P",-0.660,
100,1.9,"    ","P",-0.003,
